Aletas,D_in_PVC (mm),D_out_PVC (mm),D_aleta (mm),Proporción Serpentín,C_coil (mm),T_out_hot (°C),UA Total (W/K),Efectividad,Altura Serpentín (m),Número de Vueltas
0,34.0,40.0,8.255,0.3,10.2,18.8225,5.3512,0.0736,0.277,28.4177
0,34.0,40.0,8.89,0.3,10.2,18.8225,5.3512,0.0736,0.277,28.4177
0,34.0,40.0,9.525,0.3,10.2,18.8225,5.3512,0.0736,0.277,28.4177
0,34.0,40.0,10.16,0.3,10.2,18.8225,5.3512,0.0736,0.277,28.4177
0,34.0,40.0,10.795,0.3,10.2,18.8225,5.3512,0.0736,0.277,28.4177
0,34.0,40.0,11.43,0.3,10.2,18.8225,5.3512,0.0736,0.277,28.4177
0,34.0,40.0,12.065,0.3,10.2,18.8225,5.3512,0.0736,0.277,28.4177
0,34.0,40.0,6.985,0.4,13.6,18.8271,5.3296,0.0733,0.2131,21.7021
0,34.0,40.0,7.62,0.4,13.6,18.8271,5.3296,0.0733,0.2131,21.7021
0,34.0,40.0,8.255,0.4,13.6,18.8271,5.3296,0.0733,0.2131,21.7021
0,34.0,40.0,8.89,0.4,13.6,18.8271,5.3296,0.0733,0.2131,21.7021
0,34.0,40.0,9.525,0.4,13.6,18.8271,5.3296,0.0733,0.2131,21.7021
0,34.0,40.0,10.16,0.4,13.6,18.8271,5.3296,0.0733,0.2131,21.7021
0,34.0,40.0,10.795,0.4,13.6,18.8271,5.3296,0.0733,0.2131,21.7021
0,34.0,40.0,11.43,0.4,13.6,18.8271,5.3296,0.0733,0.2131,21.7021
0,34.0,40.0,12.065,0.4,13.6,18.8271,5.3296,0.0733,0.2131,21.7021
0,34.0,40.0,6.985,0.5,17.0,18.8308,5.3119,0.0731,0.1731,17.5116
0,34.0,40.0,7.62,0.5,17.0,18.8308,5.3119,0.0731,0.1731,17.5116
0,34.0,40.0,8.255,0.5,17.0,18.8308,5.3119,0.0731,0.1731,17.5116
0,34.0,40.0,8.89,0.5,17.0,18.8308,5.3119,0.0731,0.1731,17.5116
0,34.0,40.0,9.525,0.5,17.0,18.8308,5.3119,0.0731,0.1731,17.5116
0,34.0,40.0,10.16,0.5,17.0,18.8308,5.3119,0.0731,0.1731,17.5116
0,34.0,40.0,10.795,0.5,17.0,18.8308,5.3119,0.0731,0.1731,17.5116
0,34.0,40.0,11.43,0.5,17.0,18.8308,5.3119,0.0731,0.1731,17.5116
0,34.0,40.0,12.065,0.5,17.0,18.8308,5.3119,0.0731,0.1731,17.5116
0,34.0,40.0,6.985,0.6,20.4,18.834,5.2968,0.0729,0.146,14.6622
0,34.0,40.0,7.62,0.6,20.4,18.834,5.2968,0.0729,0.146,14.6622
0,34.0,40.0,8.255,0.6,20.4,18.834,5.2968,0.0729,0.146,14.6622
0,34.0,40.0,8.89,0.6,20.4,18.834,5.2968,0.0729,0.146,14.6622
0,34.0,40.0,9.525,0.6,20.4,18.834,5.2968,0.0729,0.146,14.6622
0,34.0,40.0,10.16,0.6,20.4,18.834,5.2968,0.0729,0.146,14.6622
0,34.0,40.0,10.795,0.6,20.4,18.834,5.2968,0.0729,0.146,14.6622
0,34.0,40.0,11.43,0.6,20.4,18.834,5.2968,0.0729,0.146,14.6622
